000561,烽火电子,陕西烽火电子股份有限公司,通信终端设备
000563,陕国投A,陕西省国际信托股份有限公司,信托
000564,供销大集,供销大集集团股份有限公司,百货
000565,渝三峡A,重庆三峡油漆股份有限公司,涂料涂漆
000566,海南海药,海南海药股份有限公司,化学制剂
000567,海德股份,海南海德实业股份有限公司,其他非银行金融
000568,泸州老窖,泸州老窖股份有限公司,白酒
000570,苏常柴A,常柴股份有限公司,内燃机
000571,新大洲A,新大洲控股股份有限公司,煤炭开采洗选
000572,海马汽车,海马汽车集团股份有限公司,乘用车
000573,粤宏远A,东莞宏远工业区股份有限公司,房地产开发
000576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,造纸
000581,威孚高科,无锡威孚高科技集团股份有限公司,汽车零部件
000582,北部湾港,北部湾港股份有限公司,港口
000584,哈工智能,江苏哈工智能机器人股份有限公司,氨纶
000585,*ST东电,东北电气发展股份有限公司,其他输变电设备
000586,汇源通信,四川汇源光通信股份有限公司,通信传输设备
000587,金洲慈航,金洲慈航集团股份有限公司,珠宝首饰
000589,黔轮胎A,贵州轮胎股份有限公司,轮胎
000590,启迪古汉,启迪古汉集团股份有限公司,中药生产
000591,太阳能,中节能太阳能股份有限公司,新能源发电
000592,平潭发展,中福海峡(平潭)发展股份有限公司,木材加工
000593,大通燃气,四川大通燃气开发股份有限公司,燃气
000595,宝塔实业,宝塔实业股份有限公司,基础件
000596,古井贡酒,安徽古井贡酒股份有限公司,白酒
000597,东北制药,东北制药集团股份有限公司,化学原料药
000598,兴蓉环境,成都市兴蓉环境股份有限公司,污水处理
000599,青岛双星,青岛双星股份有限公司,轮胎
000600,建投能源,河北建投能源投资股份有限公司,火电
000601,韶能股份,广东韶能集团股份有限公司,火电
000603,盛达矿业,盛达矿业股份有限公司,铅锌
000605,渤海股份,渤海水业股份有限公司,水务
000606,顺利办,顺利办信息服务股份有限公司,其他互联网服务
000607,华媒控股,浙江华媒控股股份有限公司,营销服务
000608,阳光股份,阳光新业地产股份有限公司,房地产开发
000609,中迪投资,北京中迪投资股份有限公司,综合
000610,西安旅游,西安旅游股份有限公司,景区
000611,天首发展,内蒙古天首科技发展股份有限公司,纺织
000612,焦作万方,焦作万方铝业股份有限公司,铝
000613,大东海A,海南大东海旅游中心股份有限公司,酒店
000615,京汉股份,京汉实业投资集团股份有限公司,房地产开发
000616,海航投资,海航投资集团股份有限公司,房地产开发
000617,中油资本,中国石油集团资本股份有限公司,其他非银行金融
000619,海螺型材,芜湖海螺型材科技股份有限公司,其他建材
000620,新华联,新华联文化旅游发展股份有限公司,房地产开发
000622,恒立实业,恒立实业发展集团股份有限公司,汽车零部件
000623,吉林敖东,吉林敖东药业集团股份有限公司,中药生产
000625,长安汽车,重庆长安汽车股份有限公司,乘用车
000626,远大控股,远大产业控股股份有限公司,贸易
000627,天茂集团,天茂实业集团股份有限公司,保险
000628,高新发展,成都高新发展股份有限公司,专业工程
000629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,普钢
000630,铜陵有色,铜陵有色金属集团股份有限公司,铜
000631,顺发恒业,顺发恒业股份公司,房地产开发
000632,三木集团,福建三木集团股份有限公司,综合
000633,合金投资,新疆合金投资股份有限公司,其他金属新材料
000635,英力特,宁夏英力特化工股份有限公司,氯碱
000636,风华高科,广东风华高新科技股份有限公司,电子元件
000637,茂化实华,茂名石化实华股份有限公司,石油加工
000638,万方发展,万方城镇投资发展股份有限公司,贸易
000639,西王食品,西王食品股份有限公司,植物油
000650,仁和药业,仁和药业股份有限公司,中药生产
000651,格力电器,珠海格力电器股份有限公司,空调
000652,泰达股份,天津泰达股份有限公司,贸易
000655,*ST金岭,山东金岭矿业股份有限公司,铁矿石
000656,金科股份,金科地产集团股份有限公司,房地产开发
000657,中钨高新,中钨高新材料股份有限公司,钨
000659,珠海中富,珠海中富实业股份有限公司,包装印刷
000661,长春高新,长春高新技术产业(集团)股份有限公司,生物医药
000662,天夏智慧,天夏智慧城市科技股份有限公司,行业应用软件
000663,永安林业,福建省永安林业(集团)股份有限公司,木材加工
000665,湖北广电,湖北省广播电视信息网络股份有限公司,有线电视
000666,经纬纺机,经纬纺织机械股份有限公司,其他非银行金融
000667,美好置业,美好置业集团股份有限公司,房地产开发
000668,荣丰控股,荣丰控股集团股份有限公司,房地产开发
000669,金鸿控股,金鸿控股集团股份有限公司,燃气
000670,盈方微,盈方微电子股份有限公司,半导体材料
000671,阳光城,阳光城集团股份有限公司,房地产开发
000672,上峰水泥,甘肃上峰水泥股份有限公司,水泥
000673,当代东方,当代东方投资股份有限公司,影视
000676,智度股份,智度科技股份有限公司,其他互联网服务
000677,恒天海龙,恒天海龙股份有限公司,粘胶纤维
000678,襄阳轴承,襄阳汽车轴承股份有限公司,汽车零部件
000679,大连友谊,大连友谊(集团)股份有限公司,百货
000680,山推股份,山推工程机械股份有限公司,工程机械
000681,视觉中国,视觉(中国)文化发展股份有限公司,网络媒体
000682,东方电子,东方电子股份有限公司,电气自控设备
000683,远兴能源,内蒙古远兴能源股份有限公司,纯碱
000685,中山公用,中山公用事业集团股份有限公司,污水处理
000686,东北证券,东北证券股份有限公司,证券
000687,华讯方舟,华讯方舟股份有限公司,通信终端设备
000688,国城矿业,国城矿业股份有限公司,铅锌
000690,宝新能源,广东宝丽华新能源股份有限公司,火电
000691,亚太实业,海南亚太实业发展股份有限公司,房地产开发
