HK0184,激成投资,激成投资(香港)有限公司,酒店
HK0185,正恒国际控股,正恒国际控股有限公司,地产投资
HK0186,敏捷控股,敏捷控股有限公司,消费电子
HK0187,京城机电股份,北京京城机电股份有限公司,电子元器件
HK0188,新华汇富金融,新华汇富金融控股有限公司,证券
HK0189,东岳集团,东岳集团有限公司,化工用品
HK0190,香港建设(控股),香港建设(控股)有限公司,房地产
HK0191,丽新国际,丽新制衣国际有限公司,地产投资
HK0193,冠中地产,冠中地产有限公司,酒店
HK0194,廖创兴企业,廖创兴企业有限公司,地产投资
HK0195,绿科科技国际,绿科科技国际有限公司,其他金属矿物
HK0196,宏华集团,宏华集团有限公司,气油设备与服务
HK0197,亨泰,亨泰消费品集团有限公司,包装食品
HK0198,星美控股,星美控股集团有限公司,影视
HK0199,德祥地产,德祥地产集团有限公司,房地产
HK0200,新濠国际发展,新濠国际发展有限公司,博彩
HK0201,华大酒店,华大酒店投资有限公司,酒店
HK0202,润中国际控股,润中国际控股有限公司,综合
HK0204,中国投资开发,中国投资开发有限公司,--
HK0205,财讯传媒,财讯传媒集团有限公司,传媒广告
HK0206,华商国际海洋控股,TSC集团控股有限公司,气油设备与服务
HK0207,大悦城地产,大悦城地产有限公司,地产投资
HK0208,保利达资产,保利达资产控股有限公司,房地产
HK0209,瀛晟科学,瀛晟科学有限公司,玩具
HK0210,达芙妮国际,达芙妮国际控股有限公司,鞋类
HK0211,STYLAND HOLD,大凌集团有限公司,证券
HK0212,NANYANG HOLD,南洋集团有限公司,地产投资
HK0213,NATIONAL ELEC H,乐声电子有限公司,电子元器件
HK0214,汇汉控股,汇汉控股有限公司,地产投资
HK0215,和记电讯香港,和记电讯香港控股有限公司,通信服务
HK0216,建业实业,建业实业有限公司,地产投资
HK0217,中国诚通发展集团,中国诚通发展集团有限公司,其他金属矿物
HK0218,申万宏源,申万宏源(香港)有限公司,证券
HK0219,顺豪物业,顺豪物业投资有限公司,酒店
HK0220,统一企业中国,统一企业中国控股有限公司,瓶装水
HK0221,易易壹金融,易易壹金融集团有限公司,房地产
HK0222,闽信集团,闽信集团有限公司,银行
HK0223,易生活控股,易生活控股有限公司,电商及互联网
HK0224,建生国际,建生国际集团有限公司,地产投资
HK0225,博富临置业,博富临置业有限公司,地产投资
HK0226,力宝,力宝有限公司,地产投资
HK0227,第一上海,第一上海投资有限公司,证券
HK0228,中能控股,中国能源开发控股有限公司,油气开采
HK0229,利民实业,利民实业有限公司,家电
HK0230,五矿地产,五矿地产有限公司,房地产
HK0231,平安证券集团控股,平安证劵集团(控股)有限公司,证券
HK0232,中国航空工业国际,中国航空工业国际控股(香港)有限公司,房地产
HK0233,铭源医疗,铭源医疗发展有限公司,生物医药
HK0234,新世纪集团,新世纪集团香港有限公司,旅游服务
HK0235,中策集团,中策集团有限公司,资产管理
HK0236,香港生力啤,香港生力啤酒厂有限公司,啤酒
HK0237,安全货仓,安全货仓有限公司,地产投资
HK0238,长兴国际,长兴国际(集团)控股有限公司,男装
HK0239,白花油,白花油国际有限公司,中药
HK0240,利基控股,利基控股有限公司,建筑工程
HK0241,阿里健康,阿里健康信息技术有限公司,信息化服务
HK0242,信德集团,信德集团有限公司,综合
HK0243,QPL INT'L,品质国际集团有限公司,半导体
HK0244,先施,先施有限公司,百货商城
HK0245,中国民生金融,中国民生金融控股有限公司,化工用品
HK0246,瑞金矿业,瑞金矿业有限公司,贵金属
HK0247,TST PROPERTIES,尖沙咀置业集团有限公司,房地产
HK0248,香港通讯国际控股,香港通讯国际控股有限公司,通信设备
HK0250,中国数码信息,中国数码信息有限公司,信息化服务
HK0251,爪哇控股,爪哇控股有限公司,地产投资
HK0252,华信地产财务,华信地产财务有限公司,包装印刷
