index_col,stock_code,shortname,fullname,address,income,profit,number,comedate,book,report,industry,bussiness
1167,HK1368,特步国际,特步国际控股有限公司,开曼群岛,--,--,8500,2008-06-03,--,,体育服装,体育用品包括鞋履、服装及配饰的设计、开发、制造、销售、市场推广及品牌管理。
1168,HK1369,五洲国际,五洲国际控股有限公司,开曼群岛,--,--,2189,2013-06-13,--,,房地产,物业发展、物业投资及提供物业管理服务。
1169,HK1370,奥威控股,奥威控股有限公司,开曼群岛,--,--,911,2013-11-28,--,,钢铁,于中国从事开采、洗选及销售铁矿石产品以及提供医院托管服务。
1170,HK1371,华彩控股,华彩控股有限公司,百慕达,--,--,319,2001-10-26,--,,彩票,中国公益彩票行业彩票系统、终端设备、游戏产品的技术提供商与运营服务商，业务涵盖视频彩票、电脑票与基诺型彩票，以及新媒体彩票等相关领域。
1171,HK1372,比速科技,比速科技集团国际有限公司,开曼群岛,--,--,789,2013-12-11,--,,汽车零部件,从事土木工程项目以及楼宇建造及保养业务；及开发、生产及销售汽车发动机之业务。
1172,HK1373,国际家居零售,国际家居零售有限公司,开曼群岛,--,--,2160,2013-09-25,--,,家具家居,家品零售及贸易、发放特许经营权及提供管理服务。
1173,HK1375,中州证券,中原证券股份有限公司,中国河南省,--,--,2542,2014-06-25,--,,证券,证券及期货经纪、投资顾问及财务顾问、证券承销与保荐、自营交易、资产管理、基金管理和直接投资、基金代销、为期货公司提供中介介绍业务和融资。
1174,HK1378,中国宏桥,中国宏桥集团有限公司,开曼群岛,--,--,56509,2011-03-24,--,,铝,生产与销售铝产品，包括液态铝合金、铝合金锭、铝母线及铝合金加工产品。
1175,HK1380,中国金石,中国金石矿业控股有限公司,百慕达,--,--,32,2011-03-18,--,,其他金属矿物,开采、加工及买卖之理石材及大理石相关产品。
1176,HK1381,粤丰环保,粤丰环保电力有限公司,开曼群岛,--,--,798,2014-12-29,--,,新能源,提供城市生活垃圾处理服务以及营运与管理垃圾焚烧发电厂。
1177,HK1382,互太纺织,互太纺织控股有限公司,开曼群岛,--,--,4919,2007-05-18,--,,纺织品,制造及买卖纺织品。
1178,HK1383,太阳城集团,太阳城集团控股有限公司,开曼群岛,--,--,185,2007-02-22,--,,房地产,在中国从事物业开发、物业租赁及管理、酒店及综合度假村管理及顾问服务及旅游代理服务。
1179,HK1385,上海复旦,上海复旦微电子集团股份有限公司,中国上海市,--,--,1045,2000-08-04,--,,半导体,提供集成电路（IC）产品测试服务、并从事设计、开发及销售专门IC测试软件及产品、制造探针卡和提供IC技术研究和咨询服务。
1180,HK1386,国投集团控股,国投集团控股有限公司,开曼群岛,--,--,1380,2007-06-07,--,,鞋类,于香港、中国内地及台湾从事鞋类零售。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1181,HK1387,人和商业,人和商业控股有限公司,开曼群岛,--,--,2153,2008-10-22,--,,地产投资,在中国经营农产品批发市场。
1182,HK1388,安莉芳控股,安莉芳控股有限公司,开曼群岛,--,--,8390,2006-12-18,--,,内衣,制造及销售胸围、内裤、泳衣及睡衣。
1183,HK1389,美捷汇控股,美捷汇控股有限公司,开曼群岛,--,--,40,2014-01-10,--,,葡萄酒,在香港销售及分销优质葡萄酒及烈酒产品以及葡萄酒配套产品。
1184,HK1393,恒鼎实业,恒鼎实业国际发展有限公司,开曼群岛,--,--,4901,2007-09-21,--,,煤炭,生产及销售精煤及其副产品，制造及销售生铁及其他产品。
1185,HK1395,强泰环保,强泰环保控股有限公司,开曼群岛,--,--,232,2014-09-26,--,,水务,在中国提供污水处理服务。
